,genre
tt0414055,"['drama', 'history', 'romance']"
tt0461770,"['comedy', 'fantasy', 'romance', 'family', 'musical']"
tt0114388,"['drama', 'romance']"
tt0347149,"['adventure', 'fantasy', 'anime']"
tt0147800,"['comedy', 'drama', 'romance']"
tt0338348,"['adventure', 'animation', 'fantasy', 'family', 'holiday']"
tt0372824,"['drama', 'musical']"
tt0758758,"['adventure', 'drama']"
tt0431308,"['drama', 'romance']"
tt0110216,"['comedy', 'science-fiction']"
tt0119715,"['comedy', 'family']"
tt0480249,"['drama', 'science-fiction', 'thriller']"
tt0464141,"['drama', 'thriller', 'horror']"
tt0465234,"['action', 'adventure', 'mystery', 'thriller']"
tt0252076,"['comedy', 'drama', 'romance']"
tt0489099,"['adventure', 'science-fiction', 'action']"
tt1064932,"['comedy', 'drama', 'romance']"
tt0060474,"['comedy', 'war']"
tt1080016,"['adventure', 'animation', 'comedy', 'family']"
tt0102798,"['adventure', 'action', 'drama']"
tt0096283,"['fantasy', 'family', 'anime']"
tt0386588,"['comedy', 'drama', 'romance']"
tt0110357,"['animation', 'family', 'drama', 'musical']"
tt0112642,"['comedy', 'fantasy', 'family']"
tt0088748,"['adventure', 'animation', 'comedy', 'family']"
tt0120587,"['animation', 'adventure', 'comedy', 'family']"
tt0356634,"['animation', 'comedy', 'family']"
tt0133240,"['adventure', 'animation', 'fantasy', 'science-fiction', 'family']"
tt0356680,"['comedy', 'drama', 'romance', 'holiday']"
tt0057546,"['animation', 'family', 'fantasy']"
tt0120744,"['action', 'adventure', 'drama']"
tt0061852,"['animation', 'family', 'adventure', 'musical']"
tt0097523,"['adventure', 'comedy', 'science-fiction', 'family']"
tt0100050,"['comedy', 'romance']"
tt0109162,"['adventure', 'animation', 'comedy', 'family']"
tt0072901,"['adventure', 'animation', 'comedy', 'family']"
tt0118617,"['animation', 'family', 'musical', 'fantasy', 'adventure']"
tt0183790,"['action', 'adventure', 'drama', 'romance']"
tt0349683,"['adventure', 'history', 'war', 'action', 'drama']"
tt0107688,"['animation', 'fantasy', 'family', 'holiday', 'musical']"
tt0274166,"['action', 'adventure', 'comedy']"
tt0120623,"['animation', 'adventure', 'comedy', 'family']"
tt0128853,"['comedy', 'romance']"
tt0097778,"['comedy', 'romance']"
tt0441773,"['animation', 'family', 'adventure', 'comedy', 'action']"
tt0455499,"['comedy', 'family', 'adventure', 'animation', 'drama', 'fantasy']"
tt0133385,"['adventure', 'comedy', 'fantasy', 'family']"
tt0119137,"['comedy', 'science-fiction', 'family']"
tt0371552,"['adventure', 'animation', 'comedy', 'family']"
tt0120131,"['animation', 'family', 'adventure', 'action']"
tt0120667,"['action', 'fantasy', 'science-fiction', 'superhero']"
tt0799949,"['adventure', 'comedy', 'fantasy']"
tt0317705,"['animation', 'family', 'adventure', 'action', 'superhero']"
tt0120783,"['comedy', 'family', 'romance']"
tt0293508,"['drama', 'romance', 'thriller', 'musical']"
tt0247638,"['comedy', 'romance', 'family']"
tt0358082,"['animation', 'comedy', 'science-fiction', 'family']"
tt0062687,"['adventure', 'animation', 'comedy', 'family']"
tt0457495,"['action', 'adventure', 'family']"
tt0371606,"['animation', 'comedy', 'family', 'superhero']"
tt0328880,"['adventure', 'animation', 'family']"
tt0465925,"['adventure', 'animation', 'family']"
tt0101414,"['animation', 'family', 'fantasy', 'romance', 'musical']"
tt0444112,"['comedy', 'drama', 'romance']"
tt0384286,"['horror', 'thriller']"
tt0065421,"['adventure', 'animation', 'comedy', 'family']"
tt0164912,"['fantasy', 'family', 'comedy', 'adventure', 'animation']"
tt1228705,"['action', 'adventure', 'science-fiction', 'superhero']"
tt0980970,"['fantasy', 'adventure', 'family']"
tt0097757,"['animation', 'family', 'fantasy', 'musical']"
tt0892791,"['adventure', 'animation', 'comedy', 'fantasy', 'family']"
tt0435761,"['animation', 'comedy', 'family']"
tt0800369,"['action', 'adventure', 'fantasy', 'superhero']"
tt0780521,"['animation', 'romance', 'fantasy', 'family', 'musical']"
tt0450664,"['comedy', 'drama']"
tt0129290,"['comedy', 'drama']"
tt0322330,"['comedy', 'fantasy', 'family']"
tt0048280,"['animation', 'family', 'romance']"
tt0129167,"['animation', 'science-fiction', 'family', 'adventure']"
tt0106375,"['comedy', 'family']"
tt0110963,"['drama', 'history', 'romance']"
tt0138749,"['adventure', 'animation', 'comedy', 'family', 'musical', 'fantasy']"
tt0988045,"['action', 'adventure', 'crime', 'mystery']"
tt0114148,"['adventure', 'animation', 'family', 'musical', 'romance']"
tt0116583,"['animation', 'family', 'drama', 'musical']"
